TeamName,RA/G,DefEff,E,DP,W,L,W-L%,ERA,tSho,H,ER,HR,BB,SO,R/G,R,H 1,RBI,SB,SO 1,BA,OBP,SLG,GDP,LOB,salary,WAR
2015 NYY,4.31,0.685,93,135,87,75,0.537,4.03,4,1416,652,182,474,1370,4.72,764,1397,737,63,1227,0.251,0.323,0.421,105,1151,222528373,42.1
2015 OAK,4.5,0.691,126,154,68,94,0.42,4.14,15,1402,664,172,474,1179,4.28,694,1405,661,78,1119,0.251,0.312,0.395,124,1102,80376830,28.8
2015 PHI,4.99,0.667,117,145,63,99,0.389,4.69,7,1592,749,191,488,1153,3.86,626,1374,586,88,1274,0.249,0.303,0.382,119,1066,141722639,13.7
2015 PIT,3.68,0.679,122,177,98,64,0.605,3.21,13,1392,532,110,453,1338,4.3,697,1462,661,98,1322,0.26,0.323,0.396,115,1166,99435606,42.5
2015 SDP,4.51,0.683,92,138,74,88,0.457,4.09,6,1371,655,171,516,1393,4.01,650,1324,623,82,1327,0.243,0.3,0.385,108,1028,107915272,21.7
2015 SEA,4.48,0.688,94,155,76,86,0.469,4.16,12,1430,677,181,491,1283,4.05,656,1379,624,69,1336,0.249,0.311,0.411,123,1080,186413630,28.1
2015 SFG,3.87,0.706,78,145,84,78,0.519,3.72,18,1344,597,155,431,1165,4.3,696,1486,663,93,1159,0.267,0.326,0.406,142,1130,126045473,40.3
2015 STL,3.24,0.688,96,159,100,62,0.617,2.94,15,1359,478,123,477,1329,3.99,647,1386,619,69,1267,0.253,0.321,0.394,128,1152,132178951,49.6
2015 TBR,3.96,0.701,95,118,80,82,0.494,3.74,12,1314,604,175,477,1355,3.98,644,1383,612,87,1310,0.252,0.314,0.406,121,1075,73582652,39.3
2015 TEX,4.52,0.687,119,169,88,74,0.543,4.24,9,1459,680,171,508,1095,4.64,751,1419,707,101,1233,0.257,0.325,0.413,99,1130,152445607,35.8
2015 TOR,4.14,0.708,88,145,93,69,0.574,3.8,10,1353,609,173,397,1117,5.5,891,1480,852,88,1151,0.269,0.34,0.457,140,1057,138309664,50.5
2015 WSN,3.92,0.685,90,125,83,79,0.512,3.62,13,1366,577,145,364,1342,4.34,703,1363,665,57,1344,0.251,0.321,0.403,129,1114,165655095,35.3
2014 ARI,4.58,0.673,101,147,64,98,0.395,4.26,4,1467,683,154,469,1278,3.8,615,1379,573,86,1165,0.248,0.302,0.376,115,1092,106482519,16.2
2014 ATL,3.69,0.687,85,143,79,83,0.488,3.38,13,1369,547,121,472,1301,3.54,573,1316,545,95,1369,0.241,0.305,0.36,121,1128,116865707,31.0
2014 BAL,3.66,0.706,87,156,96,66,0.593,3.43,13,1342,557,151,472,1174,4.35,705,1434,681,44,1285,0.256,0.311,0.422,112,1088,113562943,46.7
2014 BOS,4.41,0.685,92,155,71,91,0.438,4.01,7,1458,653,154,482,1213,3.91,634,1355,601,63,1337,0.244,0.316,0.369,138,1168,170095758,25.3
2014 CHC,4.36,0.68,103,137,73,89,0.451,3.91,11,1398,636,115,504,1311,3.79,614,1315,590,65,1477,0.239,0.3,0.385,94,1069,89539741,24.2
2014 CHW,4.68,0.678,107,170,73,89,0.451,4.29,6,1468,687,140,557,1152,4.07,660,1400,625,85,1362,0.253,0.31,0.398,127,1071,89221236,26.5
2014 CIN,3.78,0.712,72,120,76,86,0.469,3.59,13,1282,576,163,507,1290,3.67,595,1282,562,122,1252,0.238,0.296,0.365,88,1037,113351318,30.6
2014 CLE,4.03,0.673,116,139,85,77,0.525,3.56,15,1398,581,135,464,1450,4.13,669,1411,644,104,1189,0.253,0.317,0.389,126,1154,84369908,38.8
2014 COL,5.05,0.678,106,166,66,96,0.407,4.84,4,1528,770,173,531,1074,4.66,755,1551,721,85,1281,0.276,0.327,0.445,121,1072,96659578,25.9
2014 DET,4.35,0.673,101,153,90,72,0.556,4.01,8,1475,648,127,462,1244,4.67,757,1557,731,106,1144,0.277,0.331,0.426,137,1111,171996220,43.0
2014 HOU,4.46,0.685,106,151,70,92,0.432,4.11,3,1437,657,139,484,1137,3.88,629,1317,596,122,1442,0.242,0.309,0.383,122,1086,51679490,24.6
2014 KCR,3.85,0.693,104,122,89,73,0.549,3.51,14,1386,565,128,440,1168,4.02,651,1456,604,153,985,0.263,0.314,0.376,131,1080,98558300,41.1
2014 LAA,3.89,0.703,83,127,98,64,0.605,3.58,13,1307,590,126,504,1342,4.77,773,1464,729,81,1266,0.259,0.322,0.406,112,1113,165403251,45.4
2014 LAD,3.81,0.69,107,145,94,68,0.58,3.4,16,1338,554,142,429,1373,4.43,718,1476,686,138,1246,0.265,0.333,0.406,119,1159,246367142,47.1
2014 MIA,4.16,0.675,97,154,77,85,0.475,3.78,16,1481,613,114,458,1190,3.98,645,1399,614,58,1419,0.253,0.317,0.378,143,1145,50671396,29.0
2014 MIL,4.06,0.696,99,130,82,80,0.506,3.67,9,1386,594,167,431,1246,4.01,650,1366,617,102,1197,0.25,0.311,0.397,135,1049,110577046,29.2
2014 MIN,4.8,0.672,97,136,70,92,0.432,4.57,7,1588,728,147,408,1031,4.41,715,1412,675,99,1329,0.254,0.324,0.389,97,1176,87494478,27.4
2014 NYM,3.81,0.688,104,158,79,83,0.488,3.49,11,1370,568,141,509,1303,3.88,629,1306,602,101,1264,0.239,0.308,0.364,112,1123,94478037,29.3
2014 NYY,4.1,0.687,92,107,84,78,0.519,3.75,10,1392,605,164,398,1370,3.91,633,1349,591,112,1133,0.245,0.307,0.38,111,1098,214898031,31.1
2014 OAK,3.53,0.71,111,150,88,74,0.543,3.22,13,1269,524,147,406,1244,4.5,729,1354,686,83,1104,0.244,0.32,0.381,118,1147,93518412,46.0
2014 PHI,4.24,0.693,83,133,73,89,0.451,3.79,12,1396,619,134,521,1255,3.82,619,1356,584,109,1306,0.242,0.302,0.363,94,1147,175061605,26.6
2014 PIT,3.9,0.694,109,148,88,74,0.543,3.47,7,1341,562,128,499,1228,4.21,682,1436,659,104,1244,0.259,0.33,0.404,127,1192,76974115,39.1
2014 SDP,3.56,0.695,101,124,77,85,0.475,3.27,10,1300,523,117,462,1284,3.3,535,1199,500,91,1294,0.226,0.292,0.342,118,1033,85001967,25.0
2014 SEA,3.42,0.712,82,139,87,75,0.537,3.17,9,1240,512,137,463,1317,3.91,634,1328,600,96,1232,0.244,0.3,0.376,112,1008,171336782,37.8
2014 SFG,3.79,0.703,100,155,88,74,0.543,3.5,12,1305,564,133,389,1211,4.1,665,1407,636,56,1245,0.255,0.311,0.388,113,1095,107034174,33.8
2014 STL,3.72,0.701,88,145,90,72,0.556,3.5,23,1321,564,123,470,1221,3.82,619,1371,585,57,1133,0.253,0.32,0.369,140,1145,121232929,35.1
2014 TBR,3.86,0.7,88,96,77,85,0.475,3.56,22,1292,579,145,482,1437,3.78,612,1361,586,63,1124,0.247,0.317,0.367,135,1193,76821046,36.1
2014 TEX,4.77,0.675,106,155,67,95,0.414,4.49,17,1510,711,160,505,1110,3.93,637,1400,597,105,1162,0.256,0.314,0.375,148,1066,139630583,20.9
2014 TOR,4.23,0.693,87,130,83,79,0.512,4,16,1400,642,151,490,1199,4.46,723,1435,690,78,1151,0.259,0.323,0.414,128,1122,141812172,39.3
2014 WSN,3.43,0.691,100,139,96,66,0.593,3.03,19,1351,495,110,352,1288,4.23,686,1403,635,101,1304,0.253,0.321,0.393,115,1160,149470982,46.1
2013 ARI,4.29,0.697,75,135,81,81,0.5,3.92,7,1460,651,176,485,1218,4.23,685,1468,647,62,1142,0.259,0.323,0.391,160,1160,88316478,29.5
2013 ATL,3.38,0.7,85,141,96,66,0.593,3.18,12,1326,512,127,409,1232,4.25,688,1354,656,64,1384,0.249,0.321,0.402,119,1132,94947950,44.9
2013 BAL,4.38,0.701,54,165,85,77,0.525,4.2,6,1438,678,202,473,1169,4.6,745,1460,719,79,1125,0.26,0.313,0.431,105,1053,100415869,36.5
2013 BOS,4.05,0.694,80,142,97,65,0.599,3.79,8,1366,613,156,524,1294,5.27,853,1566,819,123,1308,0.277,0.349,0.446,137,1212,170734264,55.4
2013 CHC,4.25,0.706,100,129,66,96,0.407,4,6,1332,643,160,540,1184,3.72,602,1307,576,63,1230,0.238,0.3,0.392,120,1092,100052899,26.6
2013 CHW,4.46,0.687,121,155,63,99,0.389,3.98,5,1424,643,182,509,1249,3.69,598,1385,574,105,1207,0.249,0.302,0.378,124,1068,111777595,22.1
2013 CIN,3.64,0.715,76,131,90,72,0.556,3.38,17,1294,554,170,435,1296,4.31,698,1370,664,67,1245,0.249,0.327,0.391,129,1191,103804640,43.9
2013 CLE,4.09,0.683,98,135,92,70,0.568,3.82,16,1359,611,147,554,1379,4.6,745,1391,711,117,1283,0.255,0.327,0.41,106,1126,93008897,39.4
2013 COL,4.69,0.674,90,162,74,88,0.457,4.44,5,1545,708,136,517,1064,4.36,706,1511,673,112,1204,0.27,0.323,0.418,111,1118,79271624,32.4
2013 DET,3.85,0.682,76,136,93,69,0.574,3.61,12,1369,587,128,462,1428,4.91,796,1625,767,35,1073,0.283,0.346,0.434,146,1250,155223539,52.6
2013 HOU,5.23,0.679,125,168,51,111,0.315,4.79,5,1530,766,191,616,1084,3.77,610,1307,566,110,1535,0.24,0.299,0.375,110,1007,35567913,7.6
2013 KCR,3.71,0.698,85,136,86,76,0.531,3.45,12,1366,555,155,469,1208,4,648,1443,620,153,1048,0.26,0.315,0.379,131,1110,84398434,39.2
2013 LAA,4.55,0.683,112,135,78,84,0.481,4.23,12,1475,685,167,533,1200,4.52,733,1476,696,82,1221,0.264,0.329,0.414,150,1144,141435103,34.5
2013 LAD,3.59,0.692,109,160,92,70,0.568,3.25,22,1321,524,127,460,1292,4.01,649,1447,618,78,1146,0.264,0.326,0.396,130,1175,239894375,46.0
2013 MIA,3.99,0.695,88,144,62,100,0.383,3.71,13,1376,602,121,526,1177,3.17,513,1257,485,78,1232,0.231,0.293,0.335,131,1080,36028542,18.7
2013 MIL,4.24,0.697,114,153,74,88,0.457,3.84,15,1401,615,175,466,1125,3.95,640,1381,610,142,1183,0.252,0.311,0.398,116,1071,88221045,24.6
2013 MIN,4.86,0.679,81,178,66,96,0.407,4.55,7,1591,733,168,458,985,3.79,614,1346,590,52,1430,0.242,0.312,0.38,103,1206,81458898,21.9
2013 NYM,4.22,0.691,93,127,74,88,0.457,3.77,10,1442,618,152,458,1209,3.82,619,1318,593,114,1384,0.237,0.306,0.366,106,1137,101300814,23.5
2013 NYY,4.14,0.687,69,139,85,77,0.525,3.94,10,1452,633,171,437,1233,4.01,650,1321,614,115,1214,0.242,0.307,0.376,121,1064,239288940,29.8
2013 OAK,3.86,0.708,97,112,96,66,0.593,3.56,13,1339,574,163,428,1183,4.73,767,1403,725,74,1178,0.254,0.327,0.419,108,1126,67055517,44.1
2013 PHI,4.62,0.679,97,141,73,89,0.451,4.32,3,1465,689,152,506,1199,3.77,610,1355,578,73,1205,0.248,0.306,0.384,131,1061,163536898,16.6
2013 PIT,3.56,0.698,106,154,94,68,0.58,3.26,16,1299,533,101,515,1261,3.91,634,1346,603,94,1330,0.245,0.313,0.396,120,1126,71480984,42.0
2013 SDP,4.32,0.696,83,140,76,86,0.469,3.98,6,1407,643,156,525,1171,3.81,618,1349,578,118,1309,0.245,0.308,0.378,99,1126,73286341,23.6
2013 SEA,4.65,0.683,88,149,71,91,0.438,4.31,14,1467,702,174,478,1297,3.85,624,1318,597,49,1353,0.237,0.306,0.39,122,1131,140280186,23.8
2013 SFG,4.27,0.689,107,128,76,86,0.469,4,13,1380,643,145,521,1256,3.88,629,1446,596,67,1078,0.26,0.32,0.381,131,1187,83220022,27.2
2013 STL,3.68,0.691,75,177,97,65,0.599,3.42,15,1366,555,112,451,1254,4.83,783,1494,745,45,1110,0.269,0.332,0.401,154,1087,120516627,40.9
2013 TBR,3.96,0.707,59,147,92,71,0.564,3.74,17,1315,608,153,482,1310,4.29,700,1421,670,73,1171,0.257,0.329,0.408,140,1172,74572903,40.2
2013 TEX,3.9,0.693,86,146,91,72,0.558,3.62,10,1370,589,157,498,1309,4.48,730,1465,691,149,1067,0.262,0.323,0.412,124,1110,137937146,47.7
2013 TOR,4.67,0.69,111,145,74,88,0.457,4.25,11,1451,685,195,500,1208,4.4,712,1398,669,112,1123,0.252,0.318,0.411,133,1065,131771168,31.7
2013 WSN,3.86,0.691,107,146,86,76,0.531,3.59,13,1367,576,142,405,1236,4.05,656,1365,621,88,1192,0.251,0.313,0.398,115,1071,116883274,31.1
2012 ARI,4.25,0.685,90,146,81,81,0.5,3.93,9,1432,626,155,417,1200,4.53,734,1416,710,93,1266,0.259,0.328,0.418,108,1122,82959205,33.2
2012 ATL,3.7,0.703,86,147,94,68,0.58,3.42,16,1310,549,145,464,1232,4.32,700,1341,660,101,1289,0.247,0.32,0.389,108,1127,97928056,37.0
2012 BAL,4.35,0.699,106,151,93,69,0.574,3.9,10,1433,642,184,481,1177,4.4,712,1375,677,58,1315,0.247,0.311,0.417,152,1027,83725868,37.9
2012 BOS,4.98,0.689,101,159,69,93,0.426,4.7,4,1449,754,190,529,1176,4.53,734,1459,695,97,1197,0.26,0.315,0.415,105,1076,175279051,23.2
2012 CHC,4.69,0.692,105,148,61,101,0.377,4.51,9,1399,708,175,573,1128,3.78,613,1297,570,94,1235,0.24,0.302,0.378,125,1044,116341526,16.6
2012 CHW,4.17,0.702,70,154,85,77,0.525,4.02,11,1365,646,186,503,1246,4.62,748,1409,726,109,1203,0.255,0.318,0.422,112,1038,108972203,42.4
2012 CIN,3.63,0.699,89,113,97,65,0.599,3.34,12,1356,540,152,427,1248,4.13,669,1377,636,87,1266,0.251,0.315,0.411,100,1135,89901498,41.6
2012 CLE,5.22,0.685,96,157,68,94,0.42,4.78,6,1503,766,174,543,1086,4.12,667,1385,635,110,1087,0.251,0.324,0.381,141,1162,77319538,20.3
2012 COL,5.49,0.657,122,139,64,98,0.395,5.22,7,1637,824,198,566,1144,4.68,758,1526,716,100,1213,0.274,0.33,0.436,132,1111,88210881,23.0
2012 DET,4.14,0.678,99,127,88,74,0.543,3.75,8,1409,596,151,438,1318,4.48,726,1467,698,59,1103,0.268,0.335,0.422,156,1121,144262284,42.7
2012 HOU,4.9,0.675,118,132,55,107,0.34,4.56,11,1493,721,173,540,1170,3.6,583,1276,545,105,1365,0.236,0.302,0.371,114,1090,54547239,10.7
2012 KCR,4.6,0.673,113,171,72,90,0.444,4.3,12,1504,693,163,542,1177,4.17,676,1492,643,132,1032,0.265,0.317,0.4,130,1087,70344235,31.6
2012 LAA,4.31,0.708,98,141,89,73,0.549,4.02,16,1339,640,186,483,1157,4.73,767,1518,732,134,1113,0.274,0.332,0.433,138,1079,157168625,45.5
2012 LAD,3.69,0.702,98,138,86,76,0.531,3.34,10,1277,538,122,539,1276,3.93,637,1369,607,104,1156,0.252,0.317,0.374,139,1112,120784717,36.3
2012 MIA,4.47,0.685,103,154,69,93,0.426,4.09,7,1448,655,133,495,1113,3.76,609,1327,576,149,1228,0.244,0.308,0.382,114,1092,98392974,21.2
2012 MIL,4.52,0.672,99,133,83,79,0.512,4.22,9,1458,682,169,525,1402,4.79,776,1442,741,158,1240,0.259,0.325,0.437,111,1104,110905300,29.6
2012 MIN,5.14,0.69,107,188,66,96,0.407,4.77,6,1536,762,198,465,943,4.33,701,1448,666,135,1069,0.26,0.325,0.39,149,1144,109130327,25.3
2012 NYM,4.38,0.694,101,135,74,88,0.457,4.09,13,1368,651,161,488,1240,4.01,650,1357,625,79,1250,0.249,0.316,0.386,118,1118,105869476,23.8
2012 NYY,4.12,0.693,75,135,95,67,0.586,3.84,9,1401,617,190,431,1318,4.96,804,1462,774,93,1176,0.265,0.337,0.453,136,1135,228495456,51.0
2012 OAK,3.79,0.704,111,135,94,68,0.58,3.48,13,1360,569,147,462,1136,4.4,713,1315,676,122,1387,0.238,0.31,0.404,97,1095,58973573,47.7
2012 PHI,4.2,0.686,101,118,81,81,0.5,3.83,11,1387,618,178,409,1385,4.22,684,1414,659,116,1094,0.255,0.317,0.4,114,1135,179900523,30.0
